                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0365,                 2.6234,                 1.3193,                0.30504,                0.57851,                0.41701,                 0.2714,                 1.3883,                 2.8214,                 1.3243,             0.00033227,             0.00033227,             0.00033227
                      2,                 1.0941,                 1.9464,                 1.3311,                0.60728,                0.44084,                0.48986,                 0.3193,                 1.4382,                 2.3153,                 1.3129,             0.00063265,             0.00063265,             0.00063265
                      3,                 1.1098,                 1.7078,                 1.3419,                0.51023,                0.43822,                0.46284,                0.28177,                 1.3829,                 2.0708,                 1.3079,             0.00090004,             0.00090004,             0.00090004
                      4,                 1.0735,                 1.5192,                 1.3148,                0.49132,                0.45638,                0.49028,                0.32728,                 1.3496,                 1.8644,                 1.2711,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.0534,                  1.422,                 1.3001,                0.65551,                0.50101,                0.60633,                0.41935,                 1.3076,                 1.6804,                 1.2437,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.0018,                 1.2972,                 1.2595,                0.70756,                0.62435,                0.69365,                0.48314,                 1.2369,                 1.2917,                 1.1877,               0.000802,               0.000802,               0.000802
                      7,                0.96586,                 1.1868,                 1.2345,                0.65192,                0.73675,                0.73789,                0.52444,                 1.2229,                  1.133,                 1.1749,              0.0007525,              0.0007525,              0.0007525
                      8,                 0.9359,                 1.1187,                  1.221,                0.72335,                0.67854,                0.73665,                0.53958,                 1.1696,                 1.2293,                 1.1575,               0.000703,               0.000703,               0.000703
                      9,                0.92232,                 1.0602,                 1.2068,                0.76226,                0.65881,                0.75882,                0.54407,                 1.2123,                 1.1377,                 1.1684,              0.0006535,              0.0006535,              0.0006535
                     10,                0.88503,                0.99993,                 1.1898,                0.75438,                0.70187,                0.81881,                0.59991,                 1.1616,                 1.0131,                 1.1449,               0.000604,               0.000604,               0.000604
                     11,                0.84225,                0.84738,                 1.1596,                0.71882,                0.66574,                0.76667,                0.57406,                 1.1327,                 1.0084,                 1.1125,              0.0005545,              0.0005545,              0.0005545
                     12,                0.80814,                0.77973,                 1.1316,                0.73546,                0.67807,                0.74898,                0.53914,                 1.1518,                   1.17,                 1.1454,               0.000505,               0.000505,               0.000505
                     13,                0.77996,                  0.728,                 1.1126,                0.81677,                0.71537,                0.83068,                0.61777,                 1.1135,                0.89764,                 1.1209,              0.0004555,              0.0004555,              0.0004555
                     14,                0.74906,                0.67587,                 1.0858,                 0.7592,                0.76209,                0.83574,                  0.638,                  1.074,                 0.8339,                 1.0968,               0.000406,               0.000406,               0.000406
                     15,                0.72832,                0.63537,                 1.0717,                0.77242,                0.78257,                0.84995,                0.66394,                 1.0475,                0.80703,                 1.0962,              0.0003565,              0.0003565,              0.0003565
                     16,                0.70233,                0.61137,                 1.0596,                0.83133,                0.71398,                0.83534,                0.64683,                 1.0413,                0.85273,                 1.0875,               0.000307,               0.000307,               0.000307
                     17,                0.68404,                0.57074,                 1.0422,                0.75704,                 0.8047,                0.85697,                 0.6766,                 1.0016,                0.74845,                 1.0615,              0.0002575,              0.0002575,              0.0002575
                     18,                 0.6568,                0.53011,                 1.0239,                0.83775,                0.75325,                0.86192,                0.68639,                0.99424,                0.72999,                 1.0497,               0.000208,               0.000208,               0.000208
                     19,                0.64132,                0.50747,                 1.0136,                0.80287,                0.80094,                0.87431,                0.68924,                0.99532,                0.74043,                 1.0516,              0.0001585,              0.0001585,              0.0001585
                     20,                 0.6134,                 0.4775,                0.99603,                0.76472,                0.78572,                0.86475,                0.68786,                0.97309,                0.75602,                 1.0314,               0.000109,               0.000109,               0.000109
